epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9378,3.08042,4.05081,2.54509,0.0019,0.08631,0.00139,0.0004,3.09858,4.08987,2.69848,0.0708108,0.00324324,0.00324324
2,29.5296,2.81055,3.50066,2.29814,0.0113,0.26258,0.02603,0.0067,3.07589,3.60332,2.57889,0.0407978,0.00656355,0.00656355
3,44.8546,2.71837,3.21266,2.26543,0.04787,0.0627,0.02397,0.00635,2.94056,3.53164,2.63717,0.0107716,0.00987067,0.00987067
4,62.2179,2.71007,3.1342,2.25889,0.00921,0.06904,0.00346,0.00107,3.24639,inf,2.74586,0.0099406,0.0099406,0.0099406
5,75.5481,2.6836,3.05719,2.24323,0.24004,0.06224,0.01659,0.00485,3.08362,4.25107,2.59996,0.0099208,0.0099208,0.0099208
6,90.0915,2.66842,2.90819,2.19467,0.2369,0.07525,0.01542,0.00438,2.90471,5.45476,2.53539,0.009901,0.009901,0.009901
7,104.116,2.59239,2.84692,2.19568,0.07073,0.18074,0.0339,0.00916,2.86774,4.69085,2.40845,0.0098812,0.0098812,0.0098812
8,117.641,2.5796,2.77188,2.1448,0.06982,0.13277,0.0347,0.01066,2.84513,4.1544,2.4912,0.0098614,0.0098614,0.0098614
9,131.011,2.53785,2.76421,2.15845,0.0626,0.1334,0.03859,0.01009,2.87475,3.50061,2.49813,0.0098416,0.0098416,0.0098416
10,145.439,2.57482,2.7283,2.13232,0.06204,0.17964,0.02849,0.00839,2.82865,3.98724,2.47074,0.0098218,0.0098218,0.0098218
11,158.555,2.5402,2.69139,2.11413,0.10818,0.1452,0.04728,0.01425,2.74947,3.02753,2.28434,0.009802,0.009802,0.009802
12,172.386,2.49971,2.64485,2.10654,0.09812,0.11491,0.04912,0.01425,2.7044,3.0264,2.38035,0.0097822,0.0097822,0.0097822
13,187.343,2.52467,2.62771,2.1021,0.10822,0.11321,0.04391,0.01315,2.75633,3.25301,2.40313,0.0097624,0.0097624,0.0097624
14,200.381,2.4877,2.6136,2.09793,0.10929,0.15871,0.06113,0.01913,2.6069,2.93609,2.31289,0.0097426,0.0097426,0.0097426
15,214.604,2.48633,2.59612,2.09306,0.09336,0.12431,0.05272,0.01594,2.69214,3.02639,2.31408,0.0097228,0.0097228,0.0097228
16,228.769,2.48687,2.57743,2.07135,0.15387,0.14646,0.07529,0.02183,2.61449,2.93917,2.24847,0.009703,0.009703,0.009703
17,241.774,2.46944,2.55644,2.05869,0.21961,0.18487,0.08329,0.02527,2.64825,2.70021,2.22493,0.0096832,0.0096832,0.0096832
18,255.914,2.44687,2.56699,2.06069,0.08436,0.20583,0.05522,0.01628,2.65693,3.44334,2.24158,0.0096634,0.0096634,0.0096634
19,269.757,2.44642,2.52841,2.04699,0.10959,0.16808,0.06822,0.02209,2.64678,2.91792,2.34401,0.0096436,0.0096436,0.0096436
20,283.468,2.43243,2.56002,2.06264,0.13746,0.17538,0.09211,0.02857,2.51641,2.71576,2.20068,0.0096238,0.0096238,0.0096238
21,297.321,2.45249,2.50791,2.02479,0.18741,0.13374,0.07139,0.02122,2.64233,2.97454,2.25445,0.009604,0.009604,0.009604
22,310.841,2.45684,2.53323,2.04994,0.12294,0.17635,0.07593,0.02265,2.68981,2.77327,2.31293,0.0095842,0.0095842,0.0095842
23,324.604,2.41981,2.50517,2.04103,0.17887,0.17531,0.094,0.02832,2.56788,2.69646,2.23027,0.0095644,0.0095644,0.0095644
24,338.615,2.41329,2.48029,2.01801,0.17933,0.14818,0.09765,0.02989,2.59407,2.57439,2.29022,0.0095446,0.0095446,0.0095446
25,352.582,2.41799,2.47149,2.03151,0.16597,0.11929,0.07292,0.02199,2.62494,2.809,2.34837,0.0095248,0.0095248,0.0095248
26,366.494,2.41446,2.4655,2.01181,0.14233,0.18496,0.08636,0.02684,2.53872,2.79088,2.24769,0.009505,0.009505,0.009505
27,380.302,2.40155,2.44669,2.00365,0.15698,0.18846,0.09307,0.02965,2.56854,2.67453,2.19406,0.0094852,0.0094852,0.0094852
28,393.901,2.38549,2.44077,2.01571,0.14697,0.17926,0.08931,0.02805,2.52518,2.63252,2.20329,0.0094654,0.0094654,0.0094654
29,407.53,2.37889,2.44812,2.01928,0.20208,0.13964,0.0913,0.03,2.54433,2.71668,2.2782,0.0094456,0.0094456,0.0094456
30,421.44,2.39954,2.43548,2.00523,0.17224,0.20596,0.10575,0.03151,2.50842,2.67164,2.17019,0.0094258,0.0094258,0.0094258
31,435.363,2.38569,2.43115,2.00731,0.22566,0.20941,0.10962,0.03553,2.50358,2.56518,2.15319,0.009406,0.009406,0.009406
32,448.896,2.36015,2.42227,2.00892,0.17769,0.20097,0.11448,0.03552,2.47461,2.53597,2.20346,0.0093862,0.0093862,0.0093862
33,463.282,2.40409,2.42444,2.02674,0.14593,0.21433,0.09171,0.02781,2.53678,2.86304,2.16694,0.0093664,0.0093664,0.0093664
34,476.851,2.39464,2.42027,1.98837,0.21944,0.16856,0.11673,0.03475,2.487,2.58189,2.15015,0.0093466,0.0093466,0.0093466
35,491.208,2.33869,2.42713,2.00567,0.21606,0.22351,0.1179,0.03687,2.41697,2.64651,2.14081,0.0093268,0.0093268,0.0093268
36,504.271,2.37278,2.38453,1.9939,0.18227,0.19582,0.11099,0.03463,2.53388,2.58146,2.19191,0.009307,0.009307,0.009307
37,518.116,2.36178,2.38612,1.99518,0.25554,0.19281,0.12412,0.04055,2.45757,2.47529,2.18291,0.0092872,0.0092872,0.0092872
38,531.862,2.34589,2.40426,1.99772,0.20248,0.24291,0.13564,0.04274,2.44535,2.44315,2.15063,0.0092674,0.0092674,0.0092674
39,546.434,2.34126,2.39381,1.99128,0.20366,0.22674,0.13128,0.04217,2.43595,2.48526,2.11434,0.0092476,0.0092476,0.0092476
40,559.841,2.34951,2.36954,1.95664,0.20506,0.21141,0.12584,0.03897,2.44621,2.51651,2.11039,0.0092278,0.0092278,0.0092278
41,573.594,2.33938,2.35476,1.97463,0.1839,0.23515,0.12103,0.03759,2.46499,2.54564,2.1133,0.009208,0.009208,0.009208
42,587.407,2.34938,2.35074,1.96424,0.1875,0.22557,0.12608,0.0394,2.46409,2.54158,2.15024,0.0091882,0.0091882,0.0091882
43,600.792,2.32745,2.32668,1.96451,0.19897,0.25357,0.11649,0.03722,2.45383,2.47141,2.08688,0.0091684,0.0091684,0.0091684
44,614.708,2.32712,2.31965,1.93902,0.22163,0.21289,0.1265,0.04067,2.48371,2.52045,2.18827,0.0091486,0.0091486,0.0091486
45,628.525,2.33695,2.32745,1.97033,0.2432,0.22389,0.14164,0.04485,2.42801,2.48812,2.1277,0.0091288,0.0091288,0.0091288
46,642.527,2.30171,2.31811,1.94854,0.23324,0.22099,0.14585,0.04793,2.44483,2.41669,2.14841,0.009109,0.009109,0.009109
47,656.357,2.33103,2.33242,1.95049,0.24049,0.21658,0.1487,0.04802,2.44485,2.42202,2.12678,0.0090892,0.0090892,0.0090892
48,670.544,2.29146,2.32985,1.96251,0.23012,0.22225,0.13458,0.04352,2.44034,2.44522,2.17373,0.0090694,0.0090694,0.0090694
49,684.224,2.30884,2.29937,1.93018,0.20156,0.23199,0.13192,0.04352,2.4267,2.43529,2.07031,0.0090496,0.0090496,0.0090496
50,697.847,2.31046,2.31734,1.94061,0.26486,0.23332,0.16372,0.05497,2.40313,2.37408,2.12204,0.0090298,0.0090298,0.0090298
51,711.506,2.30486,2.31849,1.9562,0.22414,0.24574,0.15402,0.05068,2.41529,2.41355,2.09267,0.00901,0.00901,0.00901
52,725.417,2.30136,2.29488,1.94376,0.26649,0.24804,0.16999,0.05418,2.41005,2.3342,2.07603,0.0089902,0.0089902,0.0089902
53,739.366,2.30087,2.29125,1.92702,0.22997,0.2377,0.15177,0.04976,2.38602,2.37884,2.09058,0.0089704,0.0089704,0.0089704
54,752.491,2.27688,2.28492,1.92609,0.22898,0.22399,0.15326,0.05032,2.41602,2.40915,2.10579,0.0089506,0.0089506,0.0089506
55,765.983,2.29423,2.2683,1.92726,0.25158,0.2233,0.1693,0.05635,2.40062,2.36804,2.13676,0.0089308,0.0089308,0.0089308
56,779.899,2.26521,2.26519,1.92507,0.23247,0.25854,0.16396,0.05355,2.38142,2.35996,2.09127,0.008911,0.008911,0.008911
57,794.211,2.29635,2.29153,1.93898,0.27737,0.23227,0.15497,0.05212,2.35659,2.38087,2.09658,0.0088912,0.0088912,0.0088912
58,808.037,2.28587,2.2649,1.92969,0.22523,0.24011,0.13967,0.04495,2.43292,2.42339,2.13462,0.0088714,0.0088714,0.0088714
